Precision   Treads  Time       PI      
100        1       0.014603138   3.14160099
1000000    1       25.4373625   3.14159265
100        2       0.128664076   3.14160099
1000000    2       12.2202933   3.14159265
100        4       0.182405114   3.14160099
1000000    4       5.87428361   3.14159265
100        8       0.236175954   3.14160099
1000000    8       3.46217304   3.14159265
100        10      0.0924840569   3.14160099
1000000    10      5.51021099   3.14159265
100        12      0.10510534   3.14160099
1000000    12      4.59831953   3.14159265
